Name,Region,Metres,Grid Ref,Drop,Feature,Country,Streetmap/OSiViewer,Geograph,Latitude,Longitude
Warton Crag,"Lancashire, Cheshire & the Southern Pennines",163,SD491727,126,large limestone boulder 4m north of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=349183&y=472789&z=3&sv=349183,472789&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD4918372789,54.148406,-2.779498
Wandale Hill,The Northern Pennines,497,SD705990,111,two stones,E,"http://www.streetmap.co.uk/newmap.srf?x=370541&y=499018&z=3&sv=370541,499018&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD7054199018,54.385802,-2.455124
Cumrew Fell,The Northern Pennines,483,NY564520,120,no feature: 420m SSE of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=356426&y=552088&z=3&sv=356426,552088&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NY5642652088,54.861671,-2.680368
Knott,The Northern Pennines,412,NY650091,120,ground by stone wall,E,"http://www.streetmap.co.uk/newmap.srf?x=365067&y=509124&z=3&sv=365067,509124&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NY6506709124,54.476267,-2.540605
Knock Pike,The Northern Pennines,398,NY686282,101,no feature,E,"http://www.streetmap.co.uk/newmap.srf?x=368593&y=528246&z=3&sv=368593,528246&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NY6859328246,54.648341,-2.488241
Nettle Hill,The Northern Pennines,382,NY716078,124,small mossy cairn 30m south of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=371636&y=507813&z=3&sv=371636,507813&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NY7163607813,54.464905,-2.439108
Pontop Pike,The Northern Pennines,312,NZ149528,115,trig point: OS measurement,E,"http://www.streetmap.co.uk/newmap.srf?x=414971&y=552833&z=3&sv=414971,552833&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NZ1497152833,54.87006,-1.768258
Currock Hill,The Northern Pennines,259,NZ107592,102,no feature: ground in field,E,"http://www.streetmap.co.uk/newmap.srf?x=410718&y=559216&z=3&sv=410718,559216&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NZ1071859216,54.92752,-1.834293
Blaze Fell,The Northern Pennines,242,NY496433,110,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=349624&y=543305&z=3&sv=349624,543305&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NY4962443305,54.78211,-2.78478
Quarrystone Bank,The Northern Pennines,221,NY572275,93,,E,"http://www.streetmap.co.uk/newmap.srf?x=357200&y=527500&z=3&sv=357200,527500&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NY5720027500,54.640797,-2.664675
Strawberry Hill,The Northern Pennines,193,NZ346392,110,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=434632&y=539240&z=3&sv=434632,539240&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NZ3463239240,54.746939,-1.463542
Sheriff Hill,The Northern Pennines,167,NZ269602,134,ground beside mast and res,E,"http://www.streetmap.co.uk/newmap.srf?x=426927&y=560218&z=3&sv=426927,560218&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NZ2692760218,54.935925,-1.581288
Simon's Seat,The Central Pennines,485,SE078598,102,spot height mark on tor 2m S of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=407890&y=459806&z=3&sv=407890,459806&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SE0789059806,54.034191,-1.881029
Barbon Low Fell,The Central Pennines,437,SD650808,132,rock 85m SE of trig point (SD 65005 80894),E,"http://www.streetmap.co.uk/newmap.srf?x=365069&y=480840&z=3&sv=365069,480840&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD6506980840,54.22209,-2.537233
Round Hill,The Central Pennines,409,SE122535,112,cairn,E,"http://www.streetmap.co.uk/newmap.srf?x=412224&y=453536&z=3&sv=412224,453536&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SE1222453536,53.977754,-1.815107
Skipton Moor,The Central Pennines,373,SE013509,137,rock 30m W of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=401375&y=450905&z=3&sv=401375,450905&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SE0137550905,53.954248,-1.980537
Smearsett Scar,The Central Pennines,363,SD802678,136,cairn incorporating limestone boulder,E,"http://www.streetmap.co.uk/newmap.srf?x=380246&y=467806&z=3&sv=380246,467806&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD8024667806,54.105769,-2.30362
Lindley Moor,The Central Pennines,292,SE210514,118,felled tree stump,E,"http://www.streetmap.co.uk/newmap.srf?x=421066&y=451440&z=3&sv=421066,451440&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SE2106651440,53.958642,-1.680451
Hoof Stones Height,"Lancashire, Cheshire & the Southern Pennines",479,SD914291,100,trig point: OS measurement,E,"http://www.streetmap.co.uk/newmap.srf?x=391422&y=429101&z=3&sv=391422,429101&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD9142229101,53.758211,-2.131592
Whins Brow,"Lancashire, Cheshire & the Southern Pennines",476,SD636533,134,ground 15m E of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=363663&y=453294&z=3&sv=363663,453294&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD6366353294,53.974438,-2.555478
Blackstone Edge,"Lancashire, Cheshire & the Southern Pennines",474,SD973162,102,large boulder with OS benchmark 160m SE of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=397334&y=416264&z=3&sv=397334,416264&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD9733416264,53.642893,-2.041806
Little Wolf Stones,"Lancashire, Cheshire & the Southern Pennines",443,SD971394,100,no feature 15m NW of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=397099&y=439411&z=3&sv=397099,439411&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD9709939411,53.850942,-2.045586
Great Hameldon,"Lancashire, Cheshire & the Southern Pennines",409,SD794289,107,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=379416&y=428926&z=3&sv=379416,428926&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD7941628926,53.7563,-2.313667
Cartridge Hill,"Lancashire, Cheshire & the Southern Pennines",402,SD671199,110,no feature: ground 4m from fence and 25m NW of cairn,E,"http://www.streetmap.co.uk/newmap.srf?x=367124&y=419909&z=3&sv=367124,419909&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD6712419909,53.674623,-2.499134
Middle Knoll,"Lancashire, Cheshire & the Southern Pennines",395,SD654543,100,ground within 2m of cairn,E,"http://www.streetmap.co.uk/newmap.srf?x=365409&y=454322&z=3&sv=365409,454322&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD6540954322,53.983797,-2.528977
Pinhaw Beacon,"Lancashire, Cheshire & the Southern Pennines",388,SD944472,122,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=394432&y=447202&z=3&sv=394432,447202&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD9443247202,53.920945,-2.086271
Caton Moor,"Lancashire, Cheshire & the Southern Pennines",361,SD583639,128,ground 5m E of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=358377&y=463928&z=3&sv=358377,463928&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD5837763928,54.069609,-2.637525
Billinge Hill,"Lancashire, Cheshire & the Southern Pennines",245,SD657281,117,circular concrete plinth,E,"http://www.streetmap.co.uk/newmap.srf?x=365731&y=428189&z=3&sv=365731,428189&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SD6573128189,53.748953,-2.521139
High Neb,"Lancashire, Cheshire & the Southern Pennines",458,SK228853,107,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=422816&y=385345&z=3&sv=422816,385345&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SK2281685345,53.364503,-1.6586
Chinley Churn (old GR),"Lancashire, Cheshire & the Southern Pennines",451.8,SK035836,17,mound 14m NE of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=403555&y=383642&z=3&sv=403555,383642&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SK0355583642,53.349672,-1.948058
Sir William Hill,"Lancashire, Cheshire & the Southern Pennines",429,SK215778,123,ground 8m SSW of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=421534&y=377885&z=3&sv=421534,377885&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SK2153477885,53.297501,-1.67837
Whaley Moor,"Lancashire, Cheshire & the Southern Pennines",411,SJ990821,105,no feature 2m S of wall and 10m W of wall junction,E,"http://www.streetmap.co.uk/newmap.srf?x=398991&y=382133&z=3&sv=398991,382133&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SJ9899182133,53.336118,-2.016607
Longstone Moor,"Lancashire, Cheshire & the Southern Pennines",395,SK188732,110,cairn on tumulus,E,"http://www.streetmap.co.uk/newmap.srf?x=418885&y=373293&z=3&sv=418885,373293&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SK1888573293,53.256325,-1.718387
Wolfscote Hill,"Lancashire, Cheshire & the Southern Pennines",388,SK137583,102,rock 2m N of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=413706&y=358325&z=3&sv=413706,358325&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SK1370658325,53.121944,-1.796655
Wetton Hill,"Lancashire, Cheshire & the Southern Pennines",371,SK113566,132,no feature,E,"http://www.streetmap.co.uk/newmap.srf?x=411293&y=356595&z=3&sv=411293,356595&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SK1129356595,53.106449,-1.832757
Eccles Pike,"Lancashire, Cheshire & the Southern Pennines",370,SK035812,135,angled slab 4m E of site of indicator,E,"http://www.streetmap.co.uk/newmap.srf?x=403530&y=381223&z=3&sv=403530,381223&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SK0353081223,53.327928,-1.948467
Stanton Moor,"Lancashire, Cheshire & the Southern Pennines",323,SK244629,110,no feature (cairn has been destroyed),E,"http://www.streetmap.co.uk/newmap.srf?x=424443&y=362898&z=3&sv=424443,362898&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SK2444362898,53.162669,-1.635869
Bolehill,"Lancashire, Cheshire & the Southern Pennines",322,SK293553,103,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=429386&y=355352&z=3&sv=429386,355352&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SK2938655352,53.09459,-1.562628
Overmoor,"Lancashire, Cheshire & the Southern Pennines",288,SJ965477,140,,E,"http://www.streetmap.co.uk/newmap.srf?x=396500&y=347700&z=3&sv=396500,347700&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SJ9650047700,53.026594,-2.053631
Idle Hill [Werneth Low],"Lancashire, Cheshire & the Southern Pennines",279,SJ968929,112,grassy mound,E,"http://www.streetmap.co.uk/newmap.srf?x=396882&y=392999&z=3&sv=396882,392999&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SJ9688292999,53.433781,-2.048389
Hangingstone Hill - Pale Heights,"Lancashire, Cheshire & the Southern Pennines",177.1,SJ543696,58,earth bank,E,"http://www.streetmap.co.uk/newmap.srf?x=354331&y=369649&z=3&sv=354331,369649&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SJ5433169649,53.22193,-2.685452
Carlton Moor,The River Tees to The Wash,408,NZ519025,122,trig point on platform,E,"http://www.streetmap.co.uk/newmap.srf?x=451933&y=502585&z=3&sv=451933,502585&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NZ5193302585,54.416077,-1.201264
Black Hambleton,The River Tees to The Wash,400,SE481946,114,grassy mound,E,"http://www.streetmap.co.uk/newmap.srf?x=448148&y=494605&z=3&sv=448148,494605&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SE4814894605,54.344745,-1.260874
Stony Leas - Louven Howe,The River Tees to The Wash,299,SE886992,137,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=488666&y=499214&z=3&sv=488666,499214&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SE8866699214,54.38073,-0.63638
Brow Moor,The River Tees to The Wash,266,NZ969011,109,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=496989&y=501148&z=3&sv=496989,501148&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NZ9698901148,54.396591,-0.507648
Barns Cliff End,The River Tees to The Wash,223,SE941946,139,,E,"http://www.streetmap.co.uk/newmap.srf?x=494100&y=494600&z=3&sv=494100,494600&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SE9410094600,54.338303,-0.554199
Yearsley Cross,The River Tees to The Wash,174,SE588744,106,road verge by covered reservoir,E,"http://www.streetmap.co.uk/newmap.srf?x=458816&y=474470&z=3&sv=458816,474470&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SE5881674470,54.162688,-1.100734
Great Wold,The River Tees to The Wash,164,SE949320,113,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=494956&y=432079&z=3&sv=494956,432079&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SE9495632079,53.776418,-0.560577
Oliver's Mount,The River Tees to The Wash,155,TA039869,112,NW corner of clearing S of car park,E,"http://www.streetmap.co.uk/newmap.srf?x=503931&y=486919&z=3&sv=503931,486919&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/TA0393186919,54.267391,-0.405719
Black Hill,Shropshire,441,SO326790,105,trig point in clearing,E,"http://www.streetmap.co.uk/newmap.srf?x=332623&y=279013&z=3&sv=332623,279013&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO3262379013,52.404975,-2.991823
Stow Hill,Shropshire,434,SO317745,135,trig point: OS measurement,E,"http://www.streetmap.co.uk/newmap.srf?x=331760&y=274530&z=3&sv=331760,274530&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO3176074530,52.364571,-3.003593
Hope Bowdler Hill,Shropshire,426,SO479940,120,cairn,E,"http://www.streetmap.co.uk/newmap.srf?x=347946&y=294037&z=3&sv=347946,294037&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO4794694037,52.541706,-2.768957
Bryn Hill,Shropshire,408,SO295862,109,,E,"http://www.streetmap.co.uk/newmap.srf?x=329500&y=286200&z=3&sv=329500,286200&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO2950086200,52.46918,-3.039235
The Lawley,Shropshire,377,SO494974,106,stony mound 8m NE of weathercock,E,"http://www.streetmap.co.uk/newmap.srf?x=349470&y=297492&z=3&sv=349470,297492&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO4947097492,52.572907,-2.747015
Craig-y-Rhiw,Shropshire,362,SJ231289,119,boulder 5m W of house,E,"http://www.streetmap.co.uk/newmap.srf?x=323188&y=328944&z=3&sv=323188,328944&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SJ2318828944,52.852509,-3.142112
Middlehope Hill,Shropshire,324,SO507887,116,,E,"http://www.streetmap.co.uk/newmap.srf?x=350700&y=288700&z=3&sv=350700,288700&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO5070088700,52.493983,-2.727561
Diddlebury Common,Shropshire,317,SO483867,103,,E,"http://www.streetmap.co.uk/newmap.srf?x=348300&y=286700&z=3&sv=348300,286700&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO4830086700,52.475782,-2.762596
Oakeley Mynd,Shropshire,309,SO349874,136,trig point: OS measurement,E,"http://www.streetmap.co.uk/newmap.srf?x=334976&y=287433&z=3&sv=334976,287433&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO3497687433,52.480947,-2.958882
Clunbury Hill,Shropshire,304,SO371797,131,no feature: flat area in trees,E,"http://www.streetmap.co.uk/newmap.srf?x=337140&y=279762&z=3&sv=337140,279762&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO3714079762,52.412246,-2.925576
Norton Camp,Shropshire,294,SO445818,135,,E,"http://www.streetmap.co.uk/newmap.srf?x=344500&y=281800&z=3&sv=344500,281800&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO4450081800,52.431361,-2.81772
Coxall Knoll,Shropshire,262,SO365734,120,oak tree on ridge,E,"http://www.streetmap.co.uk/newmap.srf?x=336539&y=273410&z=3&sv=336539,273410&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO3653973410,52.355078,-2.933206
Elysian Hill,Shropshire,208,SJ579292,125,,E,"http://www.streetmap.co.uk/newmap.srf?x=357900&y=329200&z=3&sv=357900,329200&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SJ5790029200,52.858648,-2.62671
Grinshill Hill,Shropshire,192,SJ519237,101,beacon,E,"http://www.streetmap.co.uk/newmap.srf?x=351925&y=323727&z=3&sv=351925,323727&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SJ5192523727,52.808951,-2.714633
Bringewood,"West Gloucestershire, Hereford & Worcester",363,SO469734,120,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=346900&y=273478&z=3&sv=346900,273478&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO4690073478,52.356793,-2.781103
Gatley Hill,"West Gloucestershire, Hereford & Worcester",338,SO446693,110,no feature,E,"http://www.streetmap.co.uk/newmap.srf?x=344634&y=269328&z=3&sv=344634,269328&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO4463469328,52.319262,-2.813687
Herefordshire Beacon,"West Gloucestershire, Hereford & Worcester",338,SO759400,102,no feature,E,"http://www.streetmap.co.uk/newmap.srf?x=375997&y=240033&z=3&sv=375997,240033&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO7599740033,52.058161,-2.351489
Mynydd Ferddin,"West Gloucestershire, Hereford & Worcester",323,SO344285,120,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=334424&y=228537&z=3&sv=334424,228537&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO3442428537,51.951448,-2.955579
Wigmore Rolls,"West Gloucestershire, Hereford & Worcester",288,SO400697,114,no feature: ground in pasture,E,"http://www.streetmap.co.uk/newmap.srf?x=340061&y=269733&z=3&sv=340061,269733&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO4006169733,52.322421,-2.880842
Knoll Hill,"West Gloucestershire, Hereford & Worcester",287,SO382663,105,no feature: on fence/hedge line,E,"http://www.streetmap.co.uk/newmap.srf?x=338249&y=266362&z=3&sv=338249,266362&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO3824966362,52.291917,-2.906805
Welsh Newton Common,"West Gloucestershire, Hereford & Worcester",264,SO510174,111,,E,"http://www.streetmap.co.uk/newmap.srf?x=351000&y=217400&z=3&sv=351000,217400&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO5100017400,51.853035,-2.712824
Mere Hill,"West Gloucestershire, Hereford & Worcester",252,SO408654,112,no feature,E,"http://www.streetmap.co.uk/newmap.srf?x=340842&y=265429&z=3&sv=340842,265429&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO4084265429,52.283816,-2.868627
Broad Heath,"West Gloucestershire, Hereford & Worcester",246,SO664652,104,no feature,E,"http://www.streetmap.co.uk/newmap.srf?x=366407&y=265262&z=3&sv=366407,265262&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO6640765262,52.284476,-2.493863
Birley Hill,"West Gloucestershire, Hereford & Worcester",236,SO457521,127,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=345790&y=252110&z=3&sv=345790,252110&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO4579052110,52.164594,-2.793961
Frith Hill - Bradlow Knoll,"West Gloucestershire, Hereford & Worcester",238,SO716390,125,no feature,E,"http://www.streetmap.co.uk/newmap.srf?x=371626&y=239038&z=3&sv=371626,239038&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO7162639038,52.049008,-2.415157
Garnons Hill,"West Gloucestershire, Hereford & Worcester",233,SO400443,127,,E,"http://www.streetmap.co.uk/newmap.srf?x=340000&y=244300&z=3&sv=340000,244300&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO4000044300,52.093784,-2.877222
Little Doward,"West Gloucestershire, Hereford & Worcester",221,SO538161,127,no feature 10m E of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=353833&y=216121&z=3&sv=353833,216121&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO5383316121,51.841776,-2.671521
Credenhill,"West Gloucestershire, Hereford & Worcester",221,SO450444,114,knoll,E,"http://www.streetmap.co.uk/newmap.srf?x=345064&y=244433&z=3&sv=345064,244433&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO4506444433,52.095507,-2.803332
Chase Wood Hill,"West Gloucestershire, Hereford & Worcester",203,SO602225,127,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=360205&y=222526&z=3&sv=360205,222526&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO6020522526,51.899853,-2.579775
Berrow Hill,"West Gloucestershire, Hereford & Worcester",183,SO744586,105,beacon,E,"http://www.streetmap.co.uk/newmap.srf?x=374460&y=258602&z=3&sv=374460,258602&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO7446058602,52.225036,-2.375307
White Hill,"West Gloucestershire, Hereford & Worcester",173,SO595434,108,ground on track 25m N of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=359542&y=243451&z=3&sv=359542,243451&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO5954243451,52.087929,-2.591886
Seven Wells Hill,Central and Eastern England,319,SP115348,121,base of wall on S side,E,"http://www.streetmap.co.uk/newmap.srf?x=411509&y=234800&z=3&sv=411509,234800&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SP1150934800,52.011527,-1.833723
Birdlip Hill,Central and Eastern England,303,SO925141,120,covered reservoir (accessible) West of trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=392501&y=214119&z=3&sv=392501,214119&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SO9250114119,51.825641,-2.110201
Liddington Castle,Central and Eastern England,277,SU209796,1,no feature: ground on ramparts,E,"http://www.streetmap.co.uk/newmap.srf?x=420993&y=179679&z=3&sv=420993,179679&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SU2099379679,51.515652,-1.698842
Langley Hill,Central and Eastern England,274,SP008290,102,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=400804&y=229069&z=3&sv=400804,229069&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SP0080429069,51.960117,-1.989693
Hackpen Hill,Central and Eastern England,272,SU128743,104,trig point in the middle of field,E,"http://www.streetmap.co.uk/newmap.srf?x=412898&y=174388&z=3&sv=412898,174388&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SU1289874388,51.46831,-1.815694
Ebrington Hill,Central and Eastern England,261,SP187426,111,no feature: middle of field,E,"http://www.streetmap.co.uk/newmap.srf?x=418780&y=242628&z=3&sv=418780,242628&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SP1878042628,52.081709,-1.727356
Coombe Hill,Central and Eastern England,260,SP849066,108,no feature,E,"http://www.streetmap.co.uk/newmap.srf?x=484936&y=206648&z=3&sv=484936,206648&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SP8493606648,51.752103,-0.770954
Bald Hill,Central and Eastern England,257,SU728957,125,ground on path,E,"http://www.streetmap.co.uk/newmap.srf?x=472867&y=195759&z=3&sv=472867,195759&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SU7286795759,51.655911,-0.948033
Clipper Down,Central and Eastern England,249,SP965150,123,trig point with National Trust plaque,E,"http://www.streetmap.co.uk/newmap.srf?x=496525&y=215095&z=3&sv=496525,215095&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SP9652515095,51.826154,-0.600769
South Hill,Central and Eastern England,248,SP280304,120,no feature,E,"http://www.streetmap.co.uk/newmap.srf?x=428021&y=230489&z=3&sv=428021,230489&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SP2802130489,51.972183,-1.593496
Dunstable Downs,Central and Eastern England,243,TL008194,105,trig point,E,"http://www.streetmap.co.uk/newmap.srf?x=500880&y=219418&z=3&sv=500880,219418&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/TL0088019418,51.864241,-0.536337
Castle Ring,Central and Eastern England,242,SK043128,101,path edge on top of embankment,E,"http://www.streetmap.co.uk/newmap.srf?x=404314&y=312894&z=3&sv=404314,312894&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SK0431412894,52.71371,-1.937573
Ashley Heath,"Lancashire, Cheshire & the Southern Pennines",236,SJ745357,119,,E,"http://www.streetmap.co.uk/newmap.srf?x=374500&y=335700&z=3&sv=374500,335700&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SJ7450035700,52.918123,-2.380689
Whatborough Hill,Central and Eastern England,230,SK767059,108,trig point in the middle of a field,E,"http://www.streetmap.co.uk/newmap.srf?x=476741&y=305909&z=3&sv=476741,305909&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SK7674105909,52.645517,-0.8672
Arbury Hill,Central and Eastern England,225,SP540587,102,no feature,E,"http://www.streetmap.co.uk/newmap.srf?x=454011&y=258771&z=3&sv=454011,258771&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/SP5401158771,52.224522,-1.210703
